string                                                                                                                                                                                  count
BIS TRIS METHANE                                                                                                                                                                        79   
TRIS:HCL                                                                                                                                                                                67   
GDP                                                                                                                                                                                     65   
OXONATE                                                                                                                                                                                 51   
HEXAAMMINECOBALT (III) CHLORIDE                                                                                                                                                         50   
BIS TRIS:HCL                                                                                                                                                                            48   
MOPS/HEPES-NA                                                                                                                                                                           47   
CARBOXYLIC ACIDS                                                                                                                                                                        45   
OR                                                                                                                                                                                      45   
BICINE/TRIS                                                                                                                                                                             40   
AMINO ACIDS                                                                                                                                                                             34   
BRD4                                                                                                                                                                                    31   
PEG 20 000                                                                                                                                                                              30   
NICKEL SULFATE                                                                                                                                                                          30   
SODIUM HEPESPH                                                                                                                                                                          30   
CALCIUM CHLORIDE 1 1                                                                                                                                                                    30   
MPD P1KPEG 3350                                                                                                                                                                         29   
TCEP FORMATE                                                                                                                                                                            29   
SODIUM CHLORIDE 96 3 (SWISSCI)                                                                                                                                                          28   
SODIUM POTASSIUM L-TARTRATE                                                                                                                                                             27   
DI-POTASSIUM HYDROGEN PHOSPHATE                                                                                                                                                         27   
NPS                                                                                                                                                                                     26   
N2                                                                                                                                                                                      26   
DI-ETHYLENE GLYCOL                                                                                                                                                                      25   
MPD/PEG 1000/PEG 3350 MD                                                                                                                                                                23   
NAMPT                                                                                                                                                                                   23   
DIVALENTS                                                                                                                                                                               23   
HEPES/MOPS                                                                                                                                                                              23   
SODIUM POTASSIUM  DIBASIC/MONOBASIC PHOSPHATE                                                                                                                                           22   
POTASSIUM HYDROGEN PHOSPHATE                                                                                                                                                            22   
DI-SODIUM HYDROGEN PHOSPHATE                                                                                                                                                            22   
DL-ALANINE                                                                                                                                                                              21   
IMIDAZOLE/MES                                                                                                                                                                           21   
H2                                                                                                                                                                                      21   
BIS:TRIS                                                                                                                                                                                20   
AMINO ACIDS MD                                                                                                                                                                          20   
100 NL                                                                                                                                                                                  20   
ETGHLY                                                                                                                                                                                  19   
ETHANOL TRIS                                                                                                                                                                            19   
PEG MME 550/PEG 20000                                                                                                                                                                   19   
AMMONIUM                                                                                                                                                                                19   
SODIUM HYDROGEN PHOSPHATE                                                                                                                                                               19   
K-CACODYLATE                                                                                                                                                                            19   
SODIUM ACETATE:HCL                                                                                                                                                                      18   
DTT DTT                                                                                                                                                                                 18   
SODIUM PROPIONATE                                                                                                                                                                       18   
TRIS TRIS                                                                                                                                                                               18   
PHOSPHATE W                                                                                                                                                                             18   
N,N-DIMETHYLDECYLAMINE-N-OXIDE DDAO                                                                                                                                                     17   
OG                                                                                                                                                                                      17   
GLYCEROLDDED                                                                                                                                                                            17   
N-[-ACETAMIDO]-2-IMINODIACETIC ACID ADA                                                                                                                                                 17   
LYSOZYME                                                                                                                                                                                17   
ETHYLENE GLYCOL/PEG 8000                                                                                                                                                                16   
GUANIDINE                                                                                                                                                                               16   
AMINO ACID                                                                                                                                                                              16   
MOPS/HEPES                                                                                                                                                                              16   
ALCOHOLS                                                                                                                                                                                16   
MST3                                                                                                                                                                                    16   
2 UL                                                                                                                                                                                    16   
DIETHYLENEGLYCOL                                                                                                                                                                        15   
SODIUM PHOSPHATE:CITRATE                                                                                                                                                                15   
PHOSPHATESODIUM POTASSIUM                                                                                                                                                               15   
TRIS(2-CARBOXYETHYL)PHOSPHINE (TCEP                                                                                                                                                     15   
OCTANOYL-N-METHYLGLUCAMIDE                                                                                                                                                              14   
DI-SODIUM MALONATE                                                                                                                                                                      14   
RS-1,2-PROPANEDIOL                                                                                                                                                                      14   
CISPLATIN                                                                                                                                                                               14   
BRIS-TRIS                                                                                                                                                                               14   
AMICON                                                                                                                                                                                  13   
1 UL                                                                                                                                                                                    13   
POLYPROPYLENE GLYCOL                                                                                                                                                                    13   
HEPES: NAOH                                                                                                                                                                             13   
CHYMOTRYPSIN 3                                                                                                                                                                          13   
SODIUM CHLORIDE 1 UL                                                                                                                                                                    13   
N-OXALYLGLYCINE                                                                                                                                                                         13   
MONOSACCHARIDES                                                                                                                                                                         13   
SODIUM CITRATE:HCL                                                                                                                                                                      13   
TRIMETHYL-AMINO-N-OXIDE TMAO                                                                                                                                                            13   
IMIDAZOLE PIPERIDINE                                                                                                                                                                    13   
PKA 0.240 MM                                                                                                                                                                            13   
MBT MES/BIS TRIS                                                                                                                                                                        13   
PKI : P7739                                                                                                                                                                             13   
PEG 500                                                                                                                                                                                 12   
EDO PEG 8000                                                                                                                                                                            12   
MALATE MES TRIS MALATE                                                                                                                                                                  12   
ADA ADA                                                                                                                                                                                 12   
C12M                                                                                                                                                                                    12   
GLCYEROL                                                                                                                                                                                12   
TRIETHYLENEGLYCOL                                                                                                                                                                       12   
TRIETHYLAMINE N-OXIDE                                                                                                                                                                   12   
JEFFAMINE ED-2003                                                                                                                                                                       12   
DISODIUM MALONATE                                                                                                                                                                       12   
NACH02                                                                                                                                                                                  12   
AMMONIUM N-[TRIS(HYDROXYMETHYL) METHYL]-2-AMINOETHANE SULFONATE                                                                                                                         12   
ACID                                                                                                                                                                                    12   
BASIC                                                                                                                                                                                   12   
ALCOHOL                                                                                                                                                                                 12   
WEE1                                                                                                                                                                                    12   
ADA DISODIUM                                                                                                                                                                            12   
SOLVED DMSO                                                                                                                                                                             12   
3 MD                                                                                                                                                                                    11   
2-METHYL-1,3-PROPANEDIOL                                                                                                                                                                11   
NH3 SULFATE                                                                                                                                                                             11   
3-METHYL-1,5-PENTANEDIOL                                                                                                                                                                11   
L-NA-GLUTAMATE                                                                                                                                                                          11   
ACETATE-SODIUM ACETATE                                                                                                                                                                  11   
TETRAETHYLENEGLYCOL                                                                                                                                                                     11   
PCPT PROPIONATE-CACODYLATE-BIS TRIS PROPANE                                                                                                                                             11   
ZINC II                                                                                                                                                                                 11   
SBG                                                                                                                                                                                     11   
POLY(SODIUM ACRYLATE) 5100                                                                                                                                                              11   
